country,date,Individuals using the Internet (% of population),GDP per capita (current US$),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Used a mobile phone or the internet to pay bills (% age 15+),Used a mobile phone or the internet to buy something online (% age 15+),Has access to the Internet (% age 15+),"Population, total",GDP_ranking,"Access to internet, income, poorest 40% (% age 15+)","Access to internet, income, richest 60% (% age 15+)"
Argentina,1990,0.0,4330.96819128783,,,,,32637657,1.0,,
Uruguay,1990,0.0,2983.24416149177,,,,,3117012,2.0,,
Brazil,1990,0.0,2554.36863119854,,,,,150706446,3.0,,
Chile,1990,0.0,2483.56086277832,,,,,13342868,4.0,,
"Venezuela, RB",1990,0.0,2461.03935458171,,,,,19750579,5.0,,
Colombia,1990,0.0,1467.54743608627,,,,,32601393,6.0,,
Ecuador,1990,0.0,1458.3263462943,,,,,10449837,7.0,,
Paraguay,1990,0.0,1431.83920038626,,,,,4059195,8.0,,
Peru,1990,0.0,1194.54831527969,,,,,22109099,9.0,,
Suriname,1990,0.0,940.991772378839,,,,,412756,10.0,,
Bolivia,1990,0.0,685.942717677007,,,,,7096194,11.0,,
Guyana,1990,0.0,530.817521363669,,,,,747116,12.0,,
Argentina,1991,0.0,5730.72380988423,,,,,33105763,1.0,,
Uruguay,1991,0.0,3574.111621423,,,,,3135374,2.0,,
Chile,1991,0.0,2790.61655450381,,,,,13561945,3.0,,
"Venezuela, RB",1991,0.0,2642.78054146098,,,,,20226214,4.0,,
Brazil,1991,0.003288171,2233.87265114364,,,,,153336445,5.0,,
Paraguay,1991,0.0,1675.7136434161,,,,,4167996,6.0,,
Ecuador,1991,0.0,1589.75217357078,,,,,10686279,7.0,,
Peru,1991,0.0,1520.67736235824,,,,,22583006,8.0,,
Colombia,1991,0.0,1491.85672826445,,,,,33272628,9.0,,
Suriname,1991,0.0,1077.2126611552,,,,,415981,10.0,,
Bolivia,1991,0.0,737.521441951612,,,,,7244891,11.0,,
Guyana,1991,0.0,468.398022314546,,,,,744096,12.0,,
Argentina,1992,0.002992874,6815.32932969825,,,,,33568285,1.0,,
Uruguay,1992,0.0,4083.46327168408,,,,,3153732,2.0,,
Chile,1992,0.036548938,3333.95866826905,,,,,13782297,3.0,,
"Venezuela, RB",1992,0.012082134,2918.60744647595,,,,,20700461,4.0,,
Brazil,1992,0.012946262,2105.13307778769,,,,,155900790,5.0,,
Colombia,1992,0.0,1720.56855756999,,,,,33939039,6.0,,
Paraguay,1992,0.0,1673.44837156734,,,,,4277051,7.0,,
Ecuador,1992,0.005118035,1657.85872039798,,,,,10914222,8.0,,
Peru,1992,0.0,1560.54650443571,,,,,23047248,9.0,,
Suriname,1992,0.0,964.433246488257,,,,,419521,10.0,,
Bolivia,1992,0.0,763.260608937804,,,,,7394419,11.0,,
Guyana,1992,0.0,501.441804524053,,,,,744998,12.0,,
Argentina,1993,0.029527065,6957.41749889251,,,,,34027240,1.0,,
